_id,name,image,calories,protein,carbs,fat,preferences[0],preferences[1],preferences[2],restrictions[0],restrictions[1],context.mealTime[0],context.mealTime[1],context.mealTime[2],context.season,context.weather[0],context.weather[1],ingredients[0].name,ingredients[1].name,ingredients[2].name,ingredients[3].name,ingredients[4].name,ingredients[0].quantity,ingredients[1].quantity,ingredients[2].quantity,ingredients[3].quantity,ingredients[4].quantity,ingredients[0].unit,ingredients[1].unit,ingredients[2].unit,ingredients[3].unit,ingredients[4].unit,instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],context.season[0],context.season[1]
683c99140410126eb2b9efaa,Cơm gạo lứt với cá hồi,/images/foods/brown-rice-salmon.jpg,450,30,45,20,healthy,high_protein,omega3,low_sodium,,lunch,dinner,,all,all,,Cá hồi,Gạo lứt,Bông cải xanh,Cà rốt,Dầu ô liu,150,100,100,50,1,g,g,g,g,muỗng canh,Nấu gạo lứt với tỷ lệ 1:2 (gạo:nước),Áp chảo cá hồi với dầu ô liu,Hấp bông cải và cà rốt,Trang trí và thưởng thức,,,
683c99140410126eb2b9efab,Bún gạo lứt với thịt gà,/images/foods/brown-rice-noodles-chicken.jpg,400,25,50,15,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Bún gạo lứt,Ức gà,Rau sống,Nước mắm,Chanh,200,150,100,2,1,g,g,g,muỗng canh,quả,Luộc bún gạo lứt,Áp chảo ức gà với gia vị,Rửa sạch rau sống,Pha nước mắm chua ngọt,Trộn đều và thưởng thức,,
683c99140410126eb2b9efac,Cơm gạo lứt với đậu hũ sốt cà chua,/images/foods/brown-rice-tofu-tomato.jpg,380,15,55,12,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Gạo lứt,Đậu hũ,Cà chua,Hành tây,Dầu ô liu,100,200,200,50,1,g,g,g,g,muỗng canh,Nấu gạo lứt,Chiên đậu hũ vàng,Xào cà chua với hành tây,Nấu sốt cà chua với đậu hũ,Ăn kèm cơm gạo lứt,,
683c99140410126eb2b9efad,Mì gạo lứt với thịt bò xào rau,/images/foods/brown-rice-noodles-beef.jpg,420,28,48,18,high_protein,healthy,,low_sugar,,lunch,dinner,,all,all,,Mì gạo lứt,Thịt bò,Rau cải,Nước tương,Dầu mè,200,150,200,2,1,g,g,g,muỗng canh,muỗng canh,Luộc mì gạo lứt,Xào thịt bò với gia vị,Xào rau cải,Trộn đều với nước sốt,Trang trí và thưởng thức,,
683c99140410126eb2b9efae,Cơm gạo lứt với cá basa nướng,/images/foods/brown-rice-basa-fish.jpg,400,25,45,15,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Gạo lứt,Cá basa,Rau muống,Nước mắm,Chanh,100,200,200,2,1,g,g,g,muỗng canh,quả,Nấu gạo lứt,Ướp cá với gia vị,Nướng cá ở 180°C,Xào rau muống,Ăn kèm nước mắm chua ngọt,,
683c99140410126eb2b9efaf,Ức gà nướng sốt mật ong,/images/foods/honey-glazed-chicken.jpg,350,40,20,15,high_protein,healthy,,low_sugar,,lunch,dinner,,all,all,,Ức gà,Mật ong,Tỏi,Gừng,Nước tương,200,15,10,5,10,g,ml,g,g,ml,"Ướp gà với mật ong, tỏi, gừng và nước tương",Để ướp 30 phút,Nướng ở 180°C trong 20-25 phút,Kiểm tra độ chín và thưởng thức,,,
683c99140410126eb2b9efb0,Cá hồi áp chảo sốt chanh dây,/images/foods/pan-seared-salmon.jpg,380,35,15,22,high_protein,omega3,healthy,low_sugar,,lunch,dinner,,all,all,,Cá hồi,Chanh dây,Dầu ô liu,Hành tây,Gừng,200,2,1,30,5,g,quả,muỗng canh,g,g,Áp chảo cá hồi với dầu ô liu,Làm sốt chanh dây với hành tây và gừng,Rưới sốt lên cá,Trang trí và thưởng thức,,,
683c99140410126eb2b9efb1,Đậu hũ sốt nấm,/images/foods/tofu-mushroom.jpg,250,18,20,12,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Đậu hũ,Nấm đông cô,Nấm bào ngư,Nước tương,Hành lá,200,100,100,2,20,g,g,g,muỗng canh,g,Chiên đậu hũ vàng,Xào nấm với gia vị,Nấu sốt với nước tương,Trang trí với hành lá,Thưởng thức,,
683c99140410126eb2b9efb2,Salad đậu hũ non,/images/foods/tofu-salad.jpg,250,15,20,12,vegan,healthy,,low_sugar,,lunch,dinner,,,hot,,Đậu hũ non,Rau xà lách,Cà chua bi,Dầu ô liu,Giấm balsamic,200,100,50,1,1,g,g,g,muỗng canh,muỗng canh,Cắt đậu hũ thành miếng vuông,Rửa và cắt rau,Trộn đều với dầu ô liu và giấm,Trang trí và thưởng thức,,spring,summer
683c99140410126eb2b9efb3,Rau cải xào tỏi,/images/foods/garlic-greens.jpg,120,5,15,6,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Rau cải,Tỏi,Dầu ô liu,Muối,Tiêu,300,20,1,1,0.5,g,g,muỗng canh,muỗng cà phê,muỗng cà phê,Rửa và cắt rau,Băm nhỏ tỏi,Xào tỏi thơm,Xào rau với gia vị,Thưởng thức,,
